<<<<<<< HEAD
이름,성별,연령대,자기 소개,모국어,외국어,외국어 수준
Zaelen,Male,7,차 시음,english,arabic,3
Uthman,Male,29,축구 응원,french,chinese,2
Nephi,Female,5,힙합 음악 감상,english,korean,1
Navayah,Male,73,시 쓰기,korean,chinese,2
Soham,Female,59,클래식 음악 감상,french,english,2
Aiyah,Male,37,번지점프,japanese,chinese,3
Jeriyah,Male,44,트라이애슬론,spanish,chinese,3
Nyheem,Female,30,신재생 에너지,chinese,korean,2
Cayetano,Female,57,로프 클라이밍,spanish,french,3
Foxx,Male,33,환경 보호 활동,spanish,arabic,3
Lillyana,Male,31,만화 보기,spanish,english,3
Ethanpaul,Female,45,블로깅,arabic,spanish,2
Jordynne,Male,43,미니멀리즘,chinese,korean,1
Vlada,Female,34,도서 읽기,spanish,english,1
Shylia,Male,25,패들보드,english,arabic,3
Elaynah,Male,6,블로깅,french,korean,2
Glory,Female,26,스노우보드,korean,spanish,2
Tamya,Female,49,팝 음악 감상,english,japanese,2
Seann,Male,77,별보기,arabic,english,3
Runa,Female,62,빈티지 수집,english,french,1
Gracilyn,Female,24,낚시,arabic,french,3
Gypsy,Female,61,차 시음,chinese,spanish,3
Castor,Male,57,록 음악 감상,arabic,korean,2
Sayri,Female,35,블록체인,japanese,chinese,1
Delara,Male,79,역사 탐구,spanish,japanese,3
Ferris,Female,58,필라테스,arabic,english,2
Nazly,Female,23,보안 연구,arabic,french,3
Shyasia,Male,9,요리,spanish,chinese,2
Leora,Female,21,체스,spanish,french,1
Keymiah,Male,26,스노우보드,english,korean,2
Humna,Male,59,빈티지 수집,english,chinese,2
Ajitesh,Male,21,오페라 감상,arabic,korean,1
Sebastin,Male,37,환경 보호 활동,japanese,english,2
Shahzaib,Male,34,건강 및 웰니스,korean,english,3
Breilyn,Male,68,신재생 에너지,chinese,french,3
Brooklyn,Male,27,글쓰기,arabic,french,3
Leovardo,Male,8,힙합 음악 감상,french,arabic,3
Ysenia,Female,68,3D 프린팅,spanish,chinese,1
Jakota,Male,42,동물 보호 활동,arabic,korean,1
Aayan,Female,26,힙합 음악 감상,french,english,3
Ayesha,Male,42,메탈 음악 감상,korean,japanese,2
Kyley,Male,78,글쓰기,english,japanese,1
Massimiliano,Male,5,사진 찍기,english,korean,2
Daouda,Female,51,동물 보호 활동,french,arabic,1
Ally,Male,32,모터스포츠,french,chinese,2
Hodaya,Male,54,빈티지 수집,english,chinese,2
Eliany,Female,67,맥주 제조,korean,spanish,1
Lio,Female,59,정원 가꾸기,french,english,3
Jenessis,Male,8,개인 금융 관리,spanish,korean,3
Mariya,Female,22,차 시음,english,japanese,3
Maisen,Female,32,미술 클래스 참가,chinese,english,2
Kamyria,Male,53,메이커 운동,english,korean,3
Terrah,Male,30,그림 그리기,korean,french,2
Armari,Female,33,신재생 에너지,japanese,french,2
Samaad,Female,44,로봇 제작,english,spanish,2
Felecia,Male,52,아트 수집,spanish,chinese,2
Isak,Female,50,보안 연구,chinese,japanese,1
Arica,Male,5,마라톤,english,arabic,1
Maurisio,Female,35,공부,arabic,chinese,1
Balin,Male,32,카누,spanish,chinese,1
Mahaley,Female,25,건강 및 웰니스,arabic,korean,3
Elliona,Male,21,스키,chinese,english,1
Chaysen,Female,72,요리 클래스 참가,chinese,arabic,2
Sequan,Female,22,여행,french,english,1
Abdirahman,Male,34,크로스핏,french,spanish,1
Tarin,Male,7,환경 보호 활동,arabic,english,1
Dionte,Male,25,록 음악 감상,korean,chinese,1
Chapel,Male,31,퍼즐 풀기,spanish,korean,1
Griselda,Male,64,차 시음,spanish,french,3
Tomoya,Male,9,스키,chinese,japanese,2
Adyson,Female,66,천문학,english,arabic,2
Kyoko,Male,43,우주 탐사,arabic,japanese,1
Kavan,Female,38,신재생 에너지,english,spanish,3
Reegan,Male,37,오토바이 타기,japanese,arabic,2
Dhruti,Female,56,번지점프,french,chinese,3
Nayla,Female,49,모터스포츠,french,english,2
Linet,Female,35,R&B 음악 감상,english,french,3
Verena,Male,44,블로깅,english,french,2
Kamyrah,Female,38,카누,chinese,korean,1
Shayann,Male,73,블록체인,korean,chinese,1
Halee,Female,43,스카이다이빙,arabic,english,1
Sergey,Female,8,인테리어 디자인,french,korean,1
Azeem,Male,28,글쓰기,spanish,arabic,1
Christiano,Female,31,해킹,arabic,chinese,3
Jazman,Female,8,스케이트보드,french,japanese,1
Rily,Female,59,자격증 따기,chinese,arabic,1
Child,Female,43,기타 연주,chinese,korean,3
Quentyn,Male,20,영화 감상,english,korean,1
Sanai,Female,40,천문학,japanese,korean,2
Alyanna,Male,5,미술 클래스 참가,korean,arabic,2
Roko,Male,42,요리 클래스 참가,english,korean,2
Abhinav,Female,23,역사 탐구,french,english,3
Jaliya,Female,5,사진 찍기,french,chinese,2
Lea,Male,27,증강 현실,korean,chinese,2
Ayslin,Female,53,필라테스,english,japanese,2
Yassir,Male,53,자원 봉사,chinese,arabic,1
Chamar,Female,9,신재생 에너지,spanish,chinese,3
Jayline,Female,33,연극 보기,japanese,chinese,3
Maegan,Male,9,만화 보기,arabic,korean,3
Kasydi,Male,57,등산,korean,chinese,2
Huckleberry,Male,68,패들보드,spanish,english,3
Torie,Male,6,블로깅,french,japanese,2
Jaia,Female,45,클래식 음악 감상,chinese,spanish,3
Madelyne,Male,27,필라테스,japanese,french,1
Makaylee,Female,49,로프 클라이밍,english,spanish,3
Makaden,Female,46,캠핑,chinese,arabic,2
Jalani,Male,73,DIY 프로젝트,spanish,japanese,3
Anastasios,Male,24,별보기,korean,spanish,2
Nyimah,Female,20,요가,english,korean,3
Avin,Male,27,힙합 음악 감상,arabic,english,2
Madoc,Male,8,베이킹,korean,spanish,3
Floyd,Female,44,로봇 제작,japanese,korean,3
Chesnee,Female,57,R&B 음악 감상,korean,arabic,2
Avyay,Female,60,시 쓰기,french,japanese,2
Kethan,Male,22,쇼핑,japanese,korean,2
Mariella,Female,47,동물 돌보기,spanish,korean,3
Nesta,Male,59,정원 가꾸기,english,arabic,1
Selen,Female,9,베이킹,french,arabic,3
Yanet,Male,77,언어 교환,french,arabic,3
Mico,Female,47,자원 봉사,japanese,spanish,3
Meesha,Female,5,정원 가꾸기,chinese,korean,1
Kamberlyn,Female,38,스노우보드,chinese,japanese,3
Dayana,Female,51,퍼즐 풀기,spanish,english,2
Yariely,Male,8,빈티지 수집,english,chinese,3
Niyonna,Female,9,낚시,arabic,chinese,2
Avante,Male,7,공부,korean,spanish,3
Yasiel,Male,51,오토바이 타기,chinese,korean,1
Niklaus,Female,5,쇼핑,japanese,english,3
Layani,Male,52,빈티지 수집,japanese,korean,2
Lida,Male,7,차 시음,japanese,korean,2
Nikali,Male,47,클래식 음악 감상,spanish,chinese,1
Kala,Female,22,재즈 음악 감상,arabic,french,3
Owain,Male,76,드론 조종,korean,french,2
Rileyanne,Male,7,오토바이 타기,japanese,spanish,2
Aarika,Female,44,농구 응원,japanese,chinese,1
Charlye,Male,39,필라테스,korean,english,3
Semiyah,Male,59,지리학,chinese,english,3
Adellyn,Male,7,지리학,english,japanese,2
Reyden,Male,67,화초 돌보기,korean,english,3
Laika,Male,74,지속 가능한 생활,japanese,spanish,3
Abbagayle,Male,54,도서 읽기,english,japanese,3
Kendry,Male,66,문화 탐구,english,french,1
Elainea,Female,67,패러글라이딩,japanese,korean,1
Bassam,Female,73,체스,arabic,spanish,1
Dylian,Female,20,오페라 감상,french,chinese,1
Anastasiya,Male,29,오토바이 타기,chinese,arabic,3
Libi,Female,63,자격증 따기,arabic,chinese,1
Cardae,Male,22,패션 디자인,spanish,arabic,1
Xachary,Female,6,마술,korean,arabic,1
Yadiel,Male,6,스탬프 수집,french,korean,2
Iago,Male,57,서핑,korean,chinese,3
Estee,Female,24,수영,spanish,chinese,2
Anicia,Male,28,투자 및 주식,spanish,french,2
Charley,Male,69,재즈 음악 감상,chinese,japanese,1
Mahlaya,Male,26,필라테스,french,japanese,2
Carolina,Female,40,제로 웨이스트 라이프스타일,french,spanish,3
Yahweh,Female,6,증강 현실,arabic,chinese,3
Malee,Female,7,스카이다이빙,spanish,french,1
Emmalee,Male,5,도서 읽기,arabic,korean,1
Bright,Female,73,팝 음악 감상,arabic,english,2
Mekael,Female,53,댄스 클래스 참가,korean,arabic,1
Jediel,Male,44,록 음악 감상,arabic,spanish,3
Myracle,Female,21,환경 보호 활동,spanish,korean,2
Morea,Male,39,패션 디자인,chinese,spanish,3
Evony,Male,37,역사 탐구,english,arabic,1
Lyrik,Male,59,배드민턴,arabic,japanese,1
Rebeckah,Male,35,카약,arabic,korean,1
Chrislynn,Male,70,쇼핑,arabic,korean,1
Cherise,Male,49,미니멀리즘,japanese,chinese,3
Silus,Male,5,동물 돌보기,french,korean,3
Daylyn,Female,26,와인 시음,english,korean,1
Miana,Female,58,BMX,arabic,japanese,1
Iyan,Male,58,여행,arabic,japanese,3
Jaxston,Male,46,사진 찍기,chinese,arabic,2
Maela,Female,67,요리,korean,arabic,1
Chaden,Male,75,피아노 연주,english,japanese,3
Laylana,Male,34,커뮤니티 서비스,spanish,english,3
Alexsia,Male,57,공부,japanese,english,3
Margalit,Male,79,증강 현실,korean,spanish,3
Khalee,Male,64,오페라 감상,japanese,korean,3
Nemiah,Female,56,게임,arabic,french,2
Alfred,Female,50,댄스 클래스 참가,french,japanese,2
Ayleah,Male,52,BMX,arabic,korean,3
Kenden,Female,40,제로 웨이스트 라이프스타일,korean,arabic,3
Muhsin,Male,30,번지점프,korean,japanese,1
Delainey,Female,72,메이커 운동,japanese,arabic,1
Zakeya,Female,43,블로깅,english,korean,1
Isabellarose,Female,8,축구,spanish,japanese,2
Josgar,Female,28,마술,arabic,japanese,2
Zayah,Female,38,동물 돌보기,french,japanese,1
Brynnleigh,Male,77,패들보드,spanish,english,3
Inaaya,Female,50,스쿠버 다이빙,korean,spanish,2
Tavin,Female,48,우주 탐사,arabic,english,1
Naji,Female,28,서핑,spanish,english,3
Arelis,Female,43,스쿠버 다이빙,japanese,arabic,2
Jagur,Male,51,코인 수집,arabic,english,3
Anhthu,Male,48,체스,japanese,arabic,2
Danielly,Male,65,산악 자전거,japanese,chinese,1
Hermione,Female,61,비건 생활,arabic,chinese,1
Deeksha,Female,23,맥주 제조,chinese,spanish,3
Emmersyn,Male,41,마라톤,chinese,korean,1
Emilly,Male,44,록 음악 감상,arabic,korean,1
Rayane,Male,57,지속 가능한 생활,japanese,french,3
Javez,Male,59,게임,spanish,japanese,3
Cariana,Male,78,팝 음악 감상,spanish,chinese,1
Bentlei,Female,20,천문학,korean,english,2
Zyshawn,Female,5,댄스 클래스 참가,korean,chinese,2
Taiya,Female,5,가상 현실,english,korean,1
Reagin,Female,40,메이커 운동,chinese,french,1
Tenli,Male,26,천문학,english,spanish,3
Delila,Male,42,전자 음악 감상,english,korean,2
Jaloni,Female,27,마술,japanese,french,2
Ciella,Male,51,드럼 치기,arabic,chinese,1
Jayne,Male,49,개인 금융 관리,korean,arabic,1
Emiah,Male,25,커피 추출,arabic,english,2
Jontay,Female,58,작문 클래스 참가,french,spanish,2
Daleyah,Male,66,피아노 연주,english,french,3
Tillman,Female,43,힙합 음악 감상,korean,french,2
Syed,Male,25,암호화폐,arabic,french,3
Sumner,Male,24,빈티지 수집,japanese,english,1
Zayaan,Male,50,보드게임,korean,chinese,2
Dru,Female,56,체스,korean,french,2
Mariadejesus,Male,78,블로깅,korean,chinese,3
Jaeyla,Male,72,등산,chinese,japanese,2
Jacobey,Male,55,제로 웨이스트 라이프스타일,korean,french,2
Kerlin,Female,25,언어 교환,french,chinese,3
Emannuel,Male,50,팝 음악 감상,english,spanish,1
Mythias,Male,52,드럼 치기,japanese,arabic,2
Yaiza,Female,20,베이킹,japanese,french,3
Tag,Male,61,힙합 음악 감상,spanish,arabic,1
Julissa,Female,56,와인 시음,spanish,chinese,1
Bram,Female,54,3D 프린팅,korean,japanese,2
Adaneli,Male,78,쇼핑,chinese,japanese,1
Alexi,Female,48,트라이애슬론,arabic,spanish,1
Daylia,Female,74,오페라 감상,spanish,japanese,1
Madelyne,Female,7,베이킹,arabic,french,3
Gregory,Female,61,언어 학습,chinese,japanese,2
Zyniyah,Female,31,미술 클래스 참가,arabic,english,1
Quindarius,Female,23,캠핑,english,japanese,2
Deegan,Male,44,문화 탐구,spanish,japanese,1
Tallan,Female,28,요리 클래스 참가,chinese,spanish,3
Shandon,Male,44,새 관찰,chinese,japanese,2
Julian,Male,60,가상 현실,chinese,french,3
Jenan,Female,45,그림 그리기,french,chinese,1
Izabellah,Male,29,오토바이 타기,chinese,english,1
Javiyon,Male,31,모터스포츠,arabic,japanese,1
Arna,Female,30,R&B 음악 감상,japanese,french,3
Jayel,Female,8,블록체인,korean,french,3
Davy,Female,40,스노우보드,spanish,korean,1
Mehul,Male,69,비건 생활,english,japanese,1
Kalle,Female,41,바둑,french,arabic,1
Xiomari,Male,24,요가,japanese,chinese,3
Krithika,Male,32,커뮤니티 서비스,japanese,english,1
Daksh,Female,50,요가,arabic,english,3
Derrik,Male,8,로프 클라이밍,spanish,japanese,1
Niccole,Female,27,동물 돌보기,arabic,english,1
Jefte,Male,66,요가,english,spanish,3
Kharli,Female,37,카약,korean,arabic,1
Chantell,Male,38,우주 탐사,french,japanese,2
Xandria,Male,42,커뮤니티 서비스,spanish,chinese,3
Riata,Female,46,베이킹,french,english,3
Hade,Male,53,도서 읽기,french,spanish,3
Trevell,Male,63,맥주 제조,chinese,korean,1
Lian,Female,39,퍼즐 풀기,spanish,french,1
Davia,Male,47,카누,arabic,japanese,3
Marielle,Male,70,오토바이 타기,chinese,japanese,2
Emalea,Female,37,스탬프 수집,arabic,japanese,2
Micayla,Female,43,트라이애슬론,arabic,spanish,2
Oaklie,Male,8,작문 클래스 참가,arabic,french,2
Lunabelle,Male,9,동물 보호 활동,french,korean,2
Mubarak,Female,5,도서 읽기,french,korean,3
Shynia,Male,39,새 관찰,japanese,arabic,3
Leilany,Male,64,만화 보기,japanese,spanish,2
Shavy,Female,53,노래하기,english,japanese,3
Dshawn,Male,34,문화 탐구,spanish,arabic,1
Desirey,Male,51,요리 클래스 참가,korean,arabic,2
Lekai,Female,35,암벽 등반,chinese,japanese,3
Ezinne,Female,58,스쿠버 다이빙,english,spanish,1
Jahson,Female,52,투자 및 주식,arabic,spanish,3
Logen,Male,20,모터스포츠,arabic,french,2
Giani,Female,22,메탈 음악 감상,french,chinese,3
Rezon,Male,59,가상 현실,french,chinese,2
Yanis,Male,5,마라톤,korean,english,3
Ranea,Female,62,마술,french,spanish,3
Jettie,Female,67,인테리어 디자인,english,chinese,1
Zameir,Female,72,와인 시음,spanish,french,3
Martel,Female,45,메이커 운동,korean,chinese,2
Nysir,Female,39,다이빙,spanish,chinese,1
Leiliana,Female,39,노래하기,french,arabic,2
Soledad,Male,33,작문 클래스 참가,english,french,2
Addylyn,Male,8,자격증 따기,japanese,arabic,3
Elizabet,Male,39,지리학,spanish,chinese,2
Brenner,Female,5,도서 읽기,spanish,chinese,3
Ab,Female,28,요가,japanese,korean,3
Mattia,Male,20,화초 돌보기,english,spanish,1
Saliou,Female,60,산악 자전거,japanese,french,2
Kemyah,Male,20,자원 봉사,chinese,french,3
Cherish,Male,6,낚시,french,chinese,3
Rosabelle,Female,44,블록체인,chinese,spanish,1
Orlin,Female,30,천문학,korean,french,1
Ashdon,Male,32,인테리어 디자인,french,spanish,3
Khylei,Male,36,코인 수집,spanish,english,1
Taraja,Male,49,드럼 치기,arabic,japanese,2
Bess,Male,39,제로 웨이스트 라이프스타일,chinese,arabic,1
Breckon,Female,46,뮤지컬 보기,french,japanese,3
Pierce,Female,47,다이빙,arabic,japanese,3
Hadli,Female,36,암벽 등반,arabic,japanese,3
Lyn,Female,23,등산,spanish,french,1
Velma,Female,61,게임,korean,spanish,1
Pantera,Male,6,스탬프 수집,japanese,korean,2
Cortland,Female,30,R&B 음악 감상,french,chinese,3
Anjelah,Female,42,요리 클래스 참가,chinese,arabic,1
Jessejames,Male,7,별보기,chinese,english,3
Zamiyah,Male,40,역사 탐구,french,english,1
Summit,Female,56,수영,japanese,english,3
Rayna,Male,20,차 시음,spanish,korean,1
Wynn,Female,58,지리학,english,french,2
Tenoch,Male,47,지리학,chinese,arabic,3
Irys,Female,5,퍼즐 풀기,chinese,arabic,2
Lyza,Female,67,개인 금융 관리,korean,japanese,1
Donathan,Female,47,정원 가꾸기,korean,chinese,3
Sir,Female,32,공부,korean,japanese,3
Toree,Female,25,와인 시음,chinese,japanese,1
Caige,Male,71,천문학,korean,english,2
Tyberius,Male,49,동물 돌보기,chinese,french,3
Jaivon,Female,7,스카이다이빙,english,chinese,2
Jyra,Female,35,언어 교환,arabic,korean,3
Rmani,Male,71,록 음악 감상,chinese,english,3
Lexee,Male,28,R&B 음악 감상,arabic,chinese,2
Joley,Female,36,요리 클래스 참가,chinese,korean,1
Jaquavis,Male,37,지속 가능한 생활,arabic,french,1
Makani,Female,33,댄스 클래스 참가,japanese,english,3
Xochil,Female,34,댄스 클래스 참가,korean,spanish,2
Kerim,Female,25,바둑,english,japanese,1
Jeret,Female,23,해킹,arabic,english,2
Cera,Male,5,암벽 등반,arabic,english,3
Jlah,Male,33,힙합 음악 감상,korean,spanish,1
Zackeri,Male,43,암벽 등반,english,spanish,3
Huber,Male,34,제로 웨이스트 라이프스타일,french,arabic,2
Arian,Female,65,커피 추출,arabic,spanish,1
Marquez,Male,44,요리 클래스 참가,english,arabic,2
Ronin,Male,43,자격증 따기,spanish,chinese,3
Delvin,Female,78,비건 생활,french,japanese,1
Steffi,Male,69,미니멀리즘,chinese,korean,3
Camyah,Male,61,여행,french,arabic,3
Jovaughn,Female,40,도서 읽기,arabic,chinese,3
Keston,Male,23,커뮤니티 서비스,english,french,2
Leonte,Female,58,동물 보호 활동,arabic,english,2
Sharae,Male,51,스키,arabic,korean,3
Hope,Female,54,오페라 감상,spanish,japanese,1
Kharli,Female,74,오토바이 타기,spanish,japanese,2
Kenshin,Female,76,건강 및 웰니스,french,english,2
Tiari,Male,27,캠핑,korean,english,2
Maika,Female,6,스케이트보드,arabic,korean,2
Sahid,Male,9,언어 교환,french,spanish,2
Haylan,Male,58,영화 감상,japanese,arabic,1
Adara,Female,44,낚시,japanese,spanish,3
Mattie,Female,23,스키,japanese,korean,1
Adiya,Male,20,축구,japanese,french,3
Janiyah,Male,54,오토바이 타기,korean,japanese,2
Yaila,Female,23,캠핑,spanish,arabic,1
Karma,Male,21,여행,korean,chinese,2
Celine,Female,5,로봇 제작,french,english,3
Tilia,Female,27,인테리어 디자인,spanish,arabic,1
Vondell,Female,5,코인 수집,spanish,korean,2
Manya,Male,29,베이킹,chinese,spanish,1
Elisse,Female,58,패션 디자인,french,spanish,1
Marvelous,Female,22,축구,chinese,korean,3
Janely,Female,9,커뮤니티 서비스,chinese,spanish,3
Stellah,Male,20,신재생 에너지,spanish,japanese,2
Jayd,Male,55,메이커 운동,spanish,english,1
Emmalyn,Female,46,드론 조종,french,spanish,2
Nataliah,Male,48,가상 현실,japanese,chinese,1
Raileen,Female,37,BMX,japanese,french,2
Mirabella,Male,75,필라테스,english,japanese,1
Muzammil,Male,58,역사 탐구,english,chinese,3
Aiana,Female,53,연극 보기,chinese,korean,2
Nand,Male,49,커뮤니티 서비스,english,french,2
Andraya,Female,33,글쓰기,french,japanese,3
Korie,Female,42,코인 수집,arabic,chinese,3
Bently,Male,54,스케이트보드,french,arabic,1
Nyles,Female,40,낚시,spanish,japanese,2
Skyrah,Female,9,마라톤,chinese,english,2
Eris,Male,35,그림 그리기,japanese,english,3
Caira,Male,8,시 쓰기,french,japanese,1
Havyn,Male,56,동물 돌보기,korean,arabic,1
Arlette,Female,29,기타 연주,spanish,japanese,3
Addaline,Male,73,차 시음,korean,arabic,3
Kalasia,Male,39,미니멀리즘,spanish,arabic,2
Ganesh,Female,6,맥주 제조,korean,arabic,3
Jaiel,Male,32,모터스포츠,french,english,3
Antara,Male,71,드론 조종,french,chinese,1
Kodah,Female,35,보드게임,arabic,spanish,1
Karstin,Male,44,등산,english,spanish,3
Sarai,Female,45,보안 연구,japanese,spanish,1
Neeva,Female,35,바둑,chinese,spanish,1
Jerelyn,Female,60,축구 응원,arabic,english,1
Zephyr,Male,40,와인 시음,arabic,korean,2
Adhira,Female,64,아트 수집,japanese,french,1
Chaniya,Male,8,영화 감상,arabic,english,1
Cedrick,Female,9,미술 클래스 참가,japanese,french,3
Chael,Female,47,마라톤,spanish,japanese,1
Nathanuel,Female,20,메탈 음악 감상,spanish,japanese,3
Antonina,Male,59,스쿠버 다이빙,spanish,chinese,2
Jasline,Female,25,축구 응원,korean,arabic,1
Jeylin,Male,36,산악 자전거,english,chinese,3
Jocellyn,Female,39,패션 디자인,chinese,arabic,3
Adryan,Female,32,전자 음악 감상,japanese,spanish,2
Jaymie,Male,41,화초 돌보기,spanish,japanese,1
Emree,Male,20,힙합 음악 감상,french,arabic,1
Adyn,Male,56,배드민턴,chinese,arabic,2
Krymson,Female,43,게임,arabic,korean,3
Aileena,Male,65,번지점프,japanese,arabic,1
Iola,Female,47,스키,japanese,spanish,2
Draike,Male,22,블록체인,english,japanese,1
Javaris,Male,44,만화 보기,japanese,arabic,2
Gaurav,Male,33,그림 그리기,english,arabic,1
Shailyn,Male,29,사진 찍기,spanish,english,3
Chloe,Female,46,패러글라이딩,spanish,chinese,2
Zacori,Female,28,자격증 따기,japanese,english,3
Raylen,Male,58,스노우보드,english,french,2
Shameek,Male,48,스카이다이빙,spanish,french,2
Joelie,Female,47,자원 봉사,chinese,english,3
Zarie,Male,53,미니멀리즘,chinese,korean,1
Jala,Female,20,스노우보드,arabic,japanese,1
Taraja,Female,33,스키,english,chinese,2
Avrahom,Female,51,오토바이 타기,korean,arabic,1
Pailey,Female,8,블록체인,chinese,japanese,1
Ashritha,Male,9,미술 클래스 참가,korean,french,2
Lionell,Male,42,서핑,french,spanish,2
Camreon,Female,38,글쓰기,spanish,english,3
Kaiyah,Male,26,지속 가능한 생활,french,korean,1
Aryahna,Female,79,글쓰기,spanish,english,1
Anaysia,Female,54,투자 및 주식,chinese,english,1
Ayce,Male,78,신재생 에너지,french,spanish,1
Kmari,Female,30,미술 클래스 참가,arabic,french,2
Anaum,Male,38,우주 탐사,english,spanish,1
Mikaila,Female,72,로봇 제작,chinese,english,1
Danyel,Female,60,댄스 클래스 참가,japanese,spanish,2
Caedmon,Female,52,산악 자전거,japanese,arabic,3
Javaya,Male,24,필라테스,japanese,spanish,3
Aluna,Female,46,수영,french,korean,2
Kenli,Male,22,재즈 음악 감상,arabic,spanish,2
Zayyan,Male,37,농구 응원,korean,spanish,2
Aristeo,Female,76,드론 조종,korean,chinese,3
Tyren,Female,5,메이커 운동,chinese,french,2
Jamaria,Male,42,오토바이 타기,chinese,spanish,3
Elliyana,Female,33,보안 연구,french,chinese,3
Kimber,Female,24,명상,spanish,chinese,2

=======
User_ID,이름,성별,연령대,자기 소개,모국어,외국어,외국어 수준
1,Aadam,남,10대 이하,지리학,한국어,아랍어,상
2,Aadan,남,20대,바둑,스페인어,영어,하
3,Aaden,여,40대,필라테스,스페인어,한국어,상
4,Aadhav,여,40대,패러글라이딩,영어,중국어,중
5,Aadhavan,여,20대,메탈 음악 감상,일어,아랍어,상
6,Aadhya,남,60대 이상,배드민턴,스페인어,중국어,중
7,Aadi,남,40대,투자 및 주식,일어,영어,상
8,Aadil,남,50대,환경 보호 활동,한국어,영어,상
9,Aadin,남,20대,블록체인,한국어,아랍어,중
10,Aadit,남,20대,영화 감상,불어,한국어,하
11,Aaditri,남,10대 이하,다이빙,스페인어,일어,하
12,Aaditya,여,20대,보안 연구,한국어,영어,상
13,Aadya,여,60대 이상,로프 클라이밍,영어,불어,하
14,Aadyn,여,50대,모터스포츠,중국어,스페인어,중
15,Aahan,남,50대,패러글라이딩,한국어,영어,중
16,Aahana,여,10대 이하,코인 수집,중국어,아랍어,상
17,Aahil,남,50대,언어 교환,스페인어,불어,중
18,Aahna,여,50대,기타 연주,영어,스페인어,중
19,Aaidan,남,60대 이상,개인 금융 관리,중국어,영어,상
20,Aaiden,남,30대,영화 감상,영어,일어,상
21,Aailyah,남,20대,차 시음,중국어,일어,상
22,Aaira,여,20대,팝 음악 감상,불어,중국어,하
23,Aaisha,남,30대,지속 가능한 생활,한국어,아랍어,상
24,Aaishah,여,30대,오페라 감상,영어,중국어,상
25,Aakarsh,여,50대,카약,일어,아랍어,하
26,Aakash,남,10대 이하,명상,영어,한국어,하
27,Aala,여,40대,축구 응원,아랍어,불어,상
28,Aalaya,남,60대 이상,시 쓰기,불어,아랍어,상
29,Aalayah,남,30대,농구 응원,영어,불어,하
30,Aalaysia,남,20대,산악 자전거,중국어,영어,중
31,Aaleah,남,30대,동물 보호 활동,영어,아랍어,하
32,Aaleigha,여,20대,화초 돌보기,한국어,영어,하
33,Aaleyah,남,30대,피아노 연주,중국어,아랍어,중
34,Aalia,남,40대,비건 생활,중국어,불어,상
35,Aaliah,남,30대,언어 교환,한국어,불어,상
36,Aaliayah,남,30대,연극 보기,스페인어,일어,중
37,Aalijah,여,30대,암벽 등반,영어,일어,중
38,Aalina,여,40대,암호화폐,불어,아랍어,중
39,Aalivia,여,60대 이상,암벽 등반,한국어,스페인어,하
40,Aaliya,남,30대,R&B 음악 감상,불어,영어,상
41,Aaliyah,여,20대,인테리어 디자인,불어,아랍어,하
42,Aaliyah,여,30대,비건 생활,중국어,스페인어,중
43,Aaliyan,여,30대,DIY 프로젝트,아랍어,불어,중
44,Aaliyana,남,40대,지리학,일어,한국어,중
45,Aaliyha,여,50대,카누,영어,불어,상
46,Aaliyiah,여,40대,번지점프,영어,스페인어,중
47,Aalliyah,여,20대,보안 연구,불어,중국어,하
48,Aalya,여,30대,환경 보호 활동,일어,스페인어,중
49,Aalyah,여,30대,동물 돌보기,영어,일어,상
50,Aalyiah,여,50대,스쿠버 다이빙,일어,스페인어,중
51,Aalyssa,남,30대,커피 추출,불어,스페인어,하
52,Aamani,남,50대,언어 교환,중국어,스페인어,하
53,Aamari,여,60대 이상,개인 금융 관리,스페인어,일어,상
54,Aamari,남,50대,마라톤,영어,중국어,하
55,Aamarion,남,20대,요리 클래스 참가,스페인어,중국어,중
56,Aamina,남,40대,천문학,영어,일어,중
57,Aaminah,여,40대,배드민턴,아랍어,일어,상
58,Aamir,여,40대,재즈 음악 감상,중국어,한국어,중
59,Aamira,남,10대 이하,필라테스,일어,불어,상
60,Aamirah,여,20대,오페라 감상,아랍어,불어,중
61,Aamiyah,여,10대 이하,팝 음악 감상,일어,중국어,상
62,Aamna,여,50대,암호화폐,불어,아랍어,하
63,Aamoni,여,60대 이상,연극 보기,한국어,일어,상
64,Aamori,남,20대,스노우보드,불어,영어,하
65,Aamya,남,30대,쇼핑,불어,스페인어,상
66,Aamyah,여,40대,배드민턴,일어,불어,하
67,Aanika,남,10대 이하,여행,불어,영어,중
68,Aaniya,남,40대,메이커 운동,중국어,스페인어,상
69,Aaniyah,남,30대,드론 조종,영어,불어,상
70,Aanvi,남,40대,쇼핑,중국어,일어,상
71,Aanya,여,50대,바둑,영어,중국어,상
72,Aanyah,여,40대,필라테스,스페인어,일어,하
73,Aaqib,남,40대,환경 보호 활동,불어,영어,상
74,Aara,남,40대,인테리어 디자인,일어,영어,하
75,Aaralyn,남,20대,암호화폐,중국어,일어,상
76,Aaralynn,남,50대,해킹,한국어,아랍어,상
77,Aaran,여,30대,미술 클래스 참가,일어,스페인어,상
78,Aarav,여,60대 이상,만화 보기,불어,아랍어,하
79,Aaren,여,30대,춤추기,불어,스페인어,상
80,Aaren,여,10대 이하,메이커 운동,불어,일어,상
81,Aareon,여,50대,비건 생활,아랍어,중국어,상
